,Open,High,Low,Close,Volume,Next Day Close,Difference,ClassLabel
0,22.0,22.375,18.0,19.75,3880400,24.25,-4.5,1
1,19.875,25.5,19.625,24.25,4693200,20.875,3.375,0
2,24.25,25.5,20.6875,20.875,6062100,19.4375,1.4375,0
3,21.375,21.375,18.9375,19.4375,3044500,18.625,0.8125,0
4,19.0625,20.25,17.6875,18.625,2117600,20.5625,-1.9375,1
5,19.375,21.5625,19.25,20.5625,2544700,22.125,-1.5625,1
6,19.0,22.625,19.0,22.125,3434500,24.5,-2.375,1
7,20.8125,25.0625,20.25,24.5,4020000,27.4375,-2.9375,1
8,24.8125,28.25,24.5625,27.4375,5090400,31.6875,-4.25,1
9,27.5625,31.875,25.625,31.6875,3420100,32.375,-0.6875,1
10,33.0,35.0,32.0,32.375,4315700,31.25,1.125,0
11,32.375,32.5,30.0,31.25,1966400,30.0,1.25,0
12,32.3125,32.5,28.5,30.0,2621200,28.5,1.5,0
13,29.0,29.734375,26.625,28.5,3177100,32.125,-3.625,1
14,28.40625,35.5,27.625,32.125,6733800,35.375,-3.25,1
15,33.5,37.4375,32.3125,35.375,7461100,29.625,5.75,0
16,37.25,37.25,29.5,29.625,10758000,29.75,-0.125,1
17,28.8125,31.125,27.5,29.75,6098800,31.8125,-2.0625,1
18,32.375,33.3125,30.25,31.8125,5069500,30.6875,1.125,0
19,32.125,32.125,29.75,30.6875,3729400,29.0625,1.625,0
20,30.9375,31.125,28.9375,29.0625,3340300,27.625,1.4375,0
21,28.6875,28.8125,27.0625,27.625,2704800,25.75,1.875,0
22,27.4375,28.75,25.75,25.75,2191300,24.875,0.875,0
23,25.25,26.4375,24.0625,24.875,1850500,25.8125,-0.9375,1
24,24.625,26.6875,24.5,25.8125,2227700,25.25,0.5625,0
25,25.5,25.6875,22.9375,25.25,2394500,25.625,-0.375,1
26,25.5,27.375,25.25,25.625,2269800,24.4375,1.1875,0
27,25.5625,25.75,23.625,24.4375,1762600,24.9375,-0.5,1
28,24.125,25.625,23.25,24.9375,1372600,22.9375,2.0,0
29,25.25,25.375,22.6875,22.9375,2094500,21.75,1.1875,0
30,22.9375,23.0625,20.75,21.75,4049200,23.3125,-1.5625,1
31,23.25,25.5625,23.125,23.3125,3918700,21.25,2.0625,0
32,22.0625,22.625,21.0625,21.25,2651700,19.796875,1.453125,0
33,21.625,21.625,19.125,19.796875,1912300,17.9375,1.859375,0
34,19.4375,20.4375,17.5,17.9375,2443000,17.0,0.9375,0
35,18.25,18.3125,16.125,17.0,3399700,19.1875,-2.1875,1
36,16.5625,19.625,16.25,19.1875,2531900,20.0625,-0.875,1
37,20.0,20.625,18.5625,20.0625,1883000,17.8125,2.25,0
38,19.3125,19.5,17.5,17.8125,2287900,16.9375,0.875,0
39,18.125,18.5625,16.25,16.9375,1672500,17.0,-0.0625,1
40,16.5,17.125,15.1875,17.0,1772400,14.8125,2.1875,0
41,16.5,16.625,14.5625,14.8125,2376000,13.25,1.5625,0
42,15.0,15.125,13.25,13.25,2755600,12.5625,0.6875,0
43,13.875,13.90625,12.25,12.5625,5782900,12.3125,0.25,0
44,12.8125,12.9375,11.625,12.3125,3850500,10.9375,1.375,0
45,12.0,12.0625,10.5,10.9375,2304800,11.125,-0.1875,1
46,10.4375,11.5,10.1875,11.125,3232900,10.4375,0.6875,0
47,10.5625,11.625,10.4375,10.4375,3650400,11.4375,-1.0,1
48,10.4375,11.875,10.375,11.4375,3538700,11.25,0.1875,0
49,10.875,12.5,10.75,11.25,3362100,9.3125,1.9375,0
50,11.875,12.125,9.265625,9.3125,2859500,8.21875,1.09375,0
51,9.53125,9.625,7.8125,8.21875,3485800,9.46875,-1.25,1
52,8.4375,9.84375,7.25,9.46875,4271100,8.875,0.59375,0
53,9.75,10.5,8.625,8.875,5177900,8.34375,0.53125,0
