,Unnamed: 0.1,High,Low,Close,Volume,Next Day Close,Difference,ClassLabel
0,2001-01-02,6.5625,5.90625,6.0,2330500,7.125,-1.125,1
1,2001-01-03,7.375,5.75,7.125,3517100,6.59375,0.53125,0
2,2001-01-04,7.4375,6.5,6.59375,2165800,6.1875,0.40625,0
3,2001-01-05,6.875,6.125,6.1875,2028400,6.59375,-0.40625,1
4,2001-01-08,6.75,6.1875,6.59375,2278200,7.0,-0.40625,1
5,2001-01-09,7.1875,6.375,7.0,2930400,7.84375,-0.84375,1
6,2001-01-10,8.0,6.84375,7.84375,4767000,7.9375,-0.09375,1
7,2001-01-11,8.46875,7.421875,7.9375,3518500,8.6875,-0.75,1
8,2001-01-12,8.75,7.8125,8.6875,3972000,8.78125,-0.09375,1
9,2001-01-16,9.125,8.375,8.78125,2114600,8.3125,0.46875,0
10,2001-01-17,9.125,8.1875,8.3125,3021400,8.5625,-0.25,1
11,2001-01-18,8.625,7.9375,8.5625,1661300,8.9375,-0.375,1
12,2001-01-19,9.21875,8.875,8.9375,4096700,8.9375,0.0,1
13,2001-01-22,9.0625,8.75,8.9375,1068800,8.5625,0.375,0
14,2001-01-23,8.96875,8.375,8.5625,2058400,8.65625,-0.09375,1
15,2001-01-24,8.96875,8.421875,8.65625,1731600,8.375,0.28125,0
16,2001-01-25,8.65625,8.1875,8.375,929800,7.875,0.5,0
17,2001-01-26,8.125,7.5,7.875,1770400,8.6875,-0.8125,1
18,2001-01-29,8.75,7.78125,8.6875,2440900,9.03125,-0.34375,1
19,2001-01-30,9.09375,8.75,9.03125,3137500,9.34375,-0.3125,1
20,2001-01-31,10.125,9.03125,9.34375,8268500,8.9375,0.40625,0
21,2001-02-01,9.5625,8.875,8.9375,2112900,7.875,1.0625,0
22,2001-02-02,9.03125,7.75,7.875,3174600,8.4375,-0.5625,1
23,2001-02-05,8.5625,7.625,8.4375,2922900,8.5,-0.0625,1
24,2001-02-06,9.0,8.375,8.5,1703500,8.0625,0.4375,0
25,2001-02-07,8.5,8.0,8.0625,1285900,8.125,-0.0625,1
26,2001-02-08,8.4375,7.9375,8.125,1067100,7.5,0.625,0
27,2001-02-09,8.15625,7.4375,7.5,1835900,7.28125,0.21875,0
28,2001-02-12,7.75,7.1875,7.28125,1820900,6.6875,0.59375,0
29,2001-02-13,7.5,6.625,6.6875,2441400,6.65625,0.03125,0
30,2001-02-14,6.8125,6.375,6.65625,2179800,7.0625,-0.40625,1
31,2001-02-15,7.3125,6.875,7.0625,2167000,6.78125,0.28125,0
32,2001-02-16,7.0625,6.0,6.78125,1058100,6.625,0.15625,0
33,2001-02-20,7.0,6.5625,6.625,1328500,6.71875,-0.09375,1
34,2001-02-21,6.75,6.3125,6.71875,1837400,6.65625,0.0625,0
35,2001-02-22,6.875,6.375,6.65625,1030500,6.5,0.15625,0
36,2001-02-23,6.625,6.375,6.5,942700,6.78125,-0.28125,1
37,2001-02-26,6.875,6.59375,6.78125,737500,6.65625,0.125,0
38,2001-02-27,6.90625,6.625,6.65625,771100,6.4375,0.21875,0
39,2001-02-28,6.75,6.375,6.4375,981300,6.25,0.1875,0
40,2001-03-01,6.46875,6.03125,6.25,1422900,6.75,-0.5,1
41,2001-03-02,6.875,6.03125,6.75,1568100,6.5625,0.1875,0
42,2001-03-05,7.0,6.5625,6.5625,716100,6.75,-0.1875,1
43,2001-03-06,7.0625,6.75,6.75,705900,6.78125,-0.03125,1
44,2001-03-07,7.0,6.78125,6.78125,566100,6.5,0.28125,0
45,2001-03-08,6.875,6.5,6.5,756500,6.3125,0.1875,0
46,2001-03-09,6.5625,6.25,6.3125,1661800,5.8125,0.5,0
47,2001-03-12,6.34375,5.75,5.8125,1595400,6.09375,-0.28125,1
48,2001-03-13,6.125,5.78125,6.09375,1068200,5.75,0.34375,0
49,2001-03-14,6.0,5.6875,5.75,1164900,5.5625,0.1875,0
50,2001-03-15,6.0625,5.5,5.5625,1206700,5.5625,0.0,1
51,2001-03-16,5.75,5.5,5.5625,1116600,5.75,-0.1875,1
52,2001-03-19,5.75,5.53125,5.75,907300,5.5,0.25,0
53,2001-03-20,5.75,5.5,5.5,1232500,5.21875,0.28125,0
54,2001-03-21,5.53125,5.1875,5.21875,914100,5.21875,0.0,1
55,2001-03-22,5.375,5.0625,5.21875,1120500,5.875,-0.65625,1
56,2001-03-23,7.125,5.8125,5.875,9829500,6.09,-0.21499999999999986,1
57,2001-03-26,6.32,6.0,6.09,1754300,6.09,0.0,1
58,2001-03-27,6.2,6.0,6.09,1241000,5.67,0.41999999999999993,0
59,2001-03-28,5.99,5.55,5.67,867300,5.69,-0.020000000000000462,1
60,2001-03-29,5.81,5.49,5.69,910000,6.09,-0.39999999999999947,1
61,2001-03-30,6.2,5.7,6.09,1345300,5.47,0.6200000000000001,0
62,2001-04-02,6.07,5.4,5.47,879000,4.74,0.7299999999999995,0
63,2001-04-03,5.45,4.68,4.74,1450500,4.28,0.45999999999999996,0
64,2001-04-04,4.82,4.05,4.28,1826000,4.75,-0.46999999999999975,1
65,2001-04-05,4.75,4.5,4.75,922200,4.3,0.4500000000000002,0
66,2001-04-06,4.68,4.2,4.3,827300,4.89,-0.5899999999999999,1
67,2001-04-09,4.95,4.45,4.89,1396700,5.5,-0.6100000000000003,1
68,2001-04-10,5.75,5.03,5.5,1483800,5.26,0.2400000000000002,0
69,2001-04-11,6.0,5.25,5.26,1425000,5.75,-0.4900000000000002,1
70,2001-04-12,6.0,5.3,5.75,1164700,5.58,0.16999999999999993,0
71,2001-04-16,5.75,5.51,5.58,452500,5.53,0.04999999999999982,0
72,2001-04-17,5.72,5.42,5.53,677200,5.84,-0.3099999999999996,1
73,2001-04-18,6.0,5.68,5.84,2055200,5.93,-0.08999999999999986,1
74,2001-04-19,6.05,5.8,5.93,1523000,5.92,0.009999999999999787,0
75,2001-04-20,6.15,5.77,5.92,1888500,5.5,0.41999999999999993,0
76,2001-04-23,5.77,5.3,5.5,1057100,5.27,0.23000000000000043,0
77,2001-04-24,5.64,5.27,5.27,730200,5.21,0.05999999999999961,0
78,2001-04-25,5.35,5.2,5.21,627900,5.26,-0.04999999999999982,1
79,2001-04-26,5.5,5.2,5.26,798500,5.26,0.0,1
80,2001-04-27,5.47,5.25,5.26,924200,5.15,0.10999999999999943,0
81,2001-04-30,5.42,5.05,5.15,1753600,5.75,-0.5999999999999996,1
82,2001-05-01,5.75,5.1,5.75,1983500,6.19,-0.4400000000000004,1
83,2001-05-02,6.37,5.77,6.19,3612000,5.73,0.45999999999999996,0
84,2001-05-03,6.05,5.65,5.73,2042500,6.41,-0.6799999999999997,1
85,2001-05-04,6.75,5.5,6.41,7294800,6.25,0.16000000000000014,0
86,2001-05-07,6.9,6.2,6.25,2758200,6.18,0.07000000000000028,0
87,2001-05-08,6.5,6.11,6.18,1146500,5.86,0.3199999999999994,0
88,2001-05-09,6.06,5.85,5.86,1304100,5.73,0.1299999999999999,0
